fdc_id;name_de;name_en;brand;ingredients_en;kcal;protein;carbs;sugar;fat;satfat;fiber;salt;micronutrients_json
169928;Pfirsich;Peaches, yellow, raw;;;39;0.91;9.54;8.39;0.25;0.019;1.5;0;"{""calcium"":6.0,""eisen"":0.25,""kalium"":190.0,""kupfer"":0.068,""magnesium"":9.0,""mangan"":0.061,""natrium"":0.0,""phosphor"":20.0,""selen"":0.1,""vitamin_a"":16.0,""vitamin_b1"":0.024,""vitamin_b12"":0.0,""vitamin_b2"":0.031,""vitamin_b3"":0.806,""vitamin_b5"":0.153,""vitamin_b6"":0.025,""vitamin_b9"":4.0,""vitamin_c"":6.6,""vitamin_d"":0.0,""vitamin_e"":0.73,""vitamin_k"":2.6,""zink"":0.17}"
169914;Nektarine;Nectarines, raw;;;44;1.06;10.55;7.89;0.32;0.025;1.7;0;"{""calcium"":6.0,""eisen"":0.28,""kalium"":201.0,""kupfer"":0.086,""magnesium"":9.0,""mangan"":0.054,""natrium"":0.0,""phosphor"":26.0,""selen"":0.0,""vitamin_a"":17.0,""vitamin_b1"":0.034,""vitamin_b12"":0.0,""vitamin_b2"":0.027,""vitamin_b3"":1.125,""vitamin_b5"":0.185,""vitamin_b6"":0.025,""vitamin_b9"":5.0,""vitamin_c"":5.4,""vitamin_d"":0.0,""vitamin_e"":0.77,""vitamin_k"":2.2,""zink"":0.17}"
174683;Weintraube grün;Grapes, red or green (European type, such as Thompson seedless), raw;;;69;0.72;18.1;15.48;0.16;0.054;0.9;0.005;"{""calcium"":10.0,""eisen"":0.36,""kalium"":191.0,""kupfer"":0.127,""magnesium"":7.0,""mangan"":0.071,""natrium"":2.0,""phosphor"":20.0,""selen"":0.1,""vitamin_a"":3.0,""vitamin_b1"":0.069,""vitamin_b12"":0.0,""vitamin_b2"":0.07,""vitamin_b3"":0.188,""vitamin_b5"":0.05,""vitamin_b6"":0.086,""vitamin_b9"":2.0,""vitamin_c"":3.2,""vitamin_d"":0.0,""vitamin_e"":0.19,""vitamin_k"":14.6,""zink"":0.07}"
2346412;Weintraube rot;Grapes, red, seedless, raw;;;77.152;0.914;20.197;0;0.164;0;0;0.017;"{""calcium"":10.17,""eisen"":0.1615,""kalium"":229.4,""kupfer"":0.08081,""magnesium"":8.556,""mangan"":0.09758,""natrium"":6.999,""phosphor"":24.86,""vitamin_b7"":0.1222,""vitamin_c"":3.308,""zink"":0.03603}"
167765;Wassermelone;Watermelon, raw;;;30;0.61;7.55;6.2;0.15;0.016;0.4;0.003;"{""calcium"":7.0,""eisen"":0.24,""kalium"":112.0,""kupfer"":0.042,""magnesium"":10.0,""mangan"":0.038,""natrium"":1.0,""phosphor"":11.0,""selen"":0.4,""vitamin_a"":28.0,""vitamin_b1"":0.033,""vitamin_b12"":0.0,""vitamin_b2"":0.021,""vitamin_b3"":0.178,""vitamin_b5"":0.221,""vitamin_b6"":0.045,""vitamin_b9"":3.0,""vitamin_c"":8.1,""vitamin_d"":0.0,""vitamin_e"":0.05,""vitamin_k"":0.1,""zink"":0.1}"
169911;Honigmelone;Melons, honeydew, raw;;;36;0.54;9.09;8.12;0.14;0.038;0.8;0.045;"{""calcium"":6.0,""eisen"":0.17,""kalium"":228.0,""kupfer"":0.024,""magnesium"":10.0,""mangan"":0.027,""natrium"":18.0,""phosphor"":11.0,""selen"":0.7,""vitamin_a"":3.0,""vitamin_b1"":0.038,""vitamin_b12"":0.0,""vitamin_b2"":0.012,""vitamin_b3"":0.418,""vitamin_b5"":0.155,""vitamin_b6"":0.088,""vitamin_b9"":19.0,""vitamin_c"":18.0,""vitamin_d"":0.0,""vitamin_e"":0.02,""vitamin_k"":2.9,""zink"":0.09}"
169092;Cantaloupe;Melons, cantaloupe, raw;;;34;0.84;8.16;7.86;0.19;0.051;0.9;0.04;"{""calcium"":9.0,""eisen"":0.21,""kalium"":267.0,""kupfer"":0.041,""magnesium"":12.0,""mangan"":0.041,""natrium"":16.0,""phosphor"":15.0,""selen"":0.4,""vitamin_a"":169.0,""vitamin_b1"":0.041,""vitamin_b12"":0.0,""vitamin_b2"":0.019,""vitamin_b3"":0.734,""vitamin_b5"":0.105,""vitamin_b6"":0.072,""vitamin_b9"":21.0,""vitamin_c"":36.7,""vitamin_d"":0.0,""vitamin_e"":0.05,""vitamin_k"":2.5,""zink"":0.18}"
169124;Ananas;Pineapple, raw, all varieties;;;50;0.54;13.12;9.85;0.12;0.009;1.4;0.003;"{""calcium"":13.0,""eisen"":0.29,""kalium"":109.0,""kupfer"":0.11,""magnesium"":12.0,""mangan"":0.927,""natrium"":1.0,""phosphor"":8.0,""selen"":0.1,""vitamin_a"":3.0,""vitamin_b1"":0.079,""vitamin_b12"":0.0,""vitamin_b2"":0.032,""vitamin_b3"":0.5,""vitamin_b5"":0.213,""vitamin_b6"":0.112,""vitamin_b9"":18.0,""vitamin_c"":47.8,""vitamin_d"":0.0,""vitamin_e"":0.02,""vitamin_k"":0.7,""zink"":0.12}"
169910;Mango;Mangos, raw;;;60;0.82;14.98;13.66;0.38;0.092;1.6;0.003;"{""calcium"":11.0,""eisen"":0.16,""kalium"":168.0,""kupfer"":0.111,""magnesium"":10.0,""mangan"":0.063,""natrium"":1.0,""phosphor"":14.0,""selen"":0.6,""vitamin_a"":54.0,""vitamin_b1"":0.028,""vitamin_b12"":0.0,""vitamin_b2"":0.038,""vitamin_b3"":0.669,""vitamin_b5"":0.197,""vitamin_b6"":0.119,""vitamin_b9"":43.0,""vitamin_c"":36.4,""vitamin_d"":0.0,""vitamin_e"":0.9,""vitamin_k"":4.2,""zink"":0.09}"
169926;Papaya;Papayas, raw;;;43;0.47;10.82;7.82;0.26;0.081;1.7;0.02;"{""calcium"":20.0,""eisen"":0.25,""kalium"":182.0,""kupfer"":0.045,""magnesium"":21.0,""mangan"":0.04,""natrium"":8.0,""phosphor"":10.0,""selen"":0.6,""vitamin_a"":47.0,""vitamin_b1"":0.023,""vitamin_b12"":0.0,""vitamin_b2"":0.027,""vitamin_b3"":0.357,""vitamin_b5"":0.191,""vitamin_b6"":0.038,""vitamin_b9"":37.0,""vitamin_c"":60.9,""vitamin_d"":0.0,""vitamin_e"":0.3,""vitamin_k"":2.6,""zink"":0.08}"
327046;Kiwi;Kiwifruit, green, raw;;;58;1.06;14;0;0.44;0;3;0.013;"{""calcium"":35.0,""eisen"":0.24,""kalium"":198.0,""kupfer"":0.134,""magnesium"":15.7,""mangan"":0.064,""natrium"":5.0,""phosphor"":34.0,""selen"":0.2,""vitamin_a"":4.0,""vitamin_b1"":0.027,""vitamin_b2"":0.025,""vitamin_b3"":0.37,""vitamin_b5"":0.206,""vitamin_b6"":0.061,""vitamin_b9"":26.0,""vitamin_c"":74.7,""vitamin_e"":1.3,""vitamin_k"":40.3,""zink"":0.14}"
