fdc_id;name_de;name_en;brand;ingredients_en;kcal;protein;carbs;sugar;fat;satfat;fiber;salt;micronutrients_json
2727572;;Beef, short loin (NY strip steak), raw;;;196.005;21.325;0.221;0;11.54;0;0;0.108;"{""calcium"":5.043,""eisen"":1.608,""kalium"":323.0,""kupfer"":0.04304,""magnesium"":19.5,""mangan"":0.001563,""natrium"":43.09,""phosphor"":171.4,""zink"":3.284}"
2727574;;Beef, top sirloin steak, raw;;;146.163;21.975;0.218;0;5.708;0;0;0.107;"{""calcium"":3.701,""eisen"":2.224,""kalium"":349.4,""kupfer"":0.07023,""magnesium"":22.08,""mangan"":0.001563,""natrium"":42.85,""phosphor"":193.1,""zink"":3.453}"
2727573;;Beef, tenderloin steak, raw;;;149.001;21.094;0.18;0;6.456;0;0;0.112;"{""calcium"":4.089,""eisen"":2.53,""kalium"":344.7,""kupfer"":0.1046,""magnesium"":21.98,""mangan"":0.004775,""natrium"":44.85,""phosphor"":189.7,""zink"":3.225}"
2747653;;Beet greens, raw;;;26.367;1.609;4.659;0;0.144;0;2.578;0.701;"{""calcium"":72.8,""eisen"":3.163,""kalium"":368.7,""kupfer"":0.0763,""magnesium"":74.36,""mangan"":0.8167,""natrium"":280.5,""phosphor"":26.75,""vitamin_b2"":0.142,""vitamin_b6"":0.1148,""vitamin_b7"":1.238,""vitamin_b9"":151.8,""vitamin_c"":8.583,""zink"":0.3154}"
2685576;;Beets, raw;;;40.965;1.688;8.787;0;0.303;0;3.119;0.279;"{""calcium"":13.82,""eisen"":0.4281,""kalium"":341.5,""kupfer"":0.1606,""magnesium"":21.01,""mangan"":0.2571,""natrium"":111.6,""phosphor"":33.65,""vitamin_b9"":103.0,""vitamin_c"":4.6,""zink"":0.3104}"
2727571;;Bison, ground, raw;;;164.412;19.881;-0.15;0;8.88;0;0;0.139;"{""calcium"":6.827,""eisen"":2.168,""kalium"":301.1,""kupfer"":0.07822,""magnesium"":18.47,""mangan"":0.002067,""natrium"":55.7,""phosphor"":165.6,""zink"":3.763}"
2644293;;Blackeye pea, canned, sodium added, drained and rinsed;;;112.882;6.925;19.166;0;1.296;0;0;0.567;"{""calcium"":27.78,""eisen"":1.084,""kalium"":138.1,""kupfer"":0.2846,""magnesium"":27.26,""mangan"":0.2224,""natrium"":226.7,""phosphor"":83.03,""zink"":0.655}"
2644284;;Blackeye pea, dry;;;345.57;21.225;61.836;0;2.419;0;0;0.009;"{""calcium"":71.4,""eisen"":5.93,""kalium"":1243.0,""kupfer"":0.9359,""magnesium"":183.9,""mangan"":1.288,""natrium"":3.458,""phosphor"":427.6,""zink"":3.654}"
2346411;;Blueberries, raw;;;57.385;0.703;14.572;0;0.306;0;0;0;"{""calcium"":11.69,""eisen"":0.3398,""kalium"":85.64,""kupfer"":0.04605,""magnesium"":6.179,""mangan"":0.4228,""natrium"":0.0,""phosphor"":12.96,""vitamin_b7"":0.3,""vitamin_c"":8.059,""zink"":0.08534}"
2685575;;Brussels sprouts, raw;;;48.779;3.984;9.616;0;0.565;0;4.785;0.064;"{""calcium"":38.64,""eisen"":0.7305,""kalium"":476.8,""kupfer"":0.03843,""magnesium"":25.0,""mangan"":0.24,""natrium"":25.74,""phosphor"":78.54,""vitamin_b9"":86.0,""vitamin_c"":142.9,""zink"":0.3663}"
2512378;;Buckwheat, whole grain;;;331.601;11.065;71.131;0;3.039;0;4.046;0;"{""calcium"":13.64,""eisen"":2.444,""kalium"":414.5,""kupfer"":0.4764,""magnesium"":203.0,""mangan"":1.23,""natrium"":0.0,""phosphor"":373.7,""selen"":13.6,""vitamin_b1"":0.5388,""vitamin_b2"":0.1775,""vitamin_b3"":5.366,""vitamin_b6"":0.2776,""vitamin_b7"":18.65,""zink"":2.236}"
2710820;;Bulgur, dry, raw;;;349.302;11.756;75.882;0;2.421;0;11.72;0.005;"{""calcium"":34.11,""eisen"":2.625,""kalium"":358.3,""kupfer"":0.3774,""magnesium"":118.9,""mangan"":2.636,""natrium"":2.18,""phosphor"":312.1,""vitamin_b1"":0.2263,""vitamin_b3"":5.18,""vitamin_b6"":0.2228,""vitamin_b7"":5.475,""zink"":2.149}"
2259792;;Buttermilk, low fat;;;42.918;3.465;4.812;0;1.081;0.553;0;0.231;"{""calcium"":120.1,""eisen"":0.01325,""jod"":34.16,""kalium"":158.0,""kupfer"":0.00135,""magnesium"":11.03,""mangan"":0.0,""natrium"":92.49,""phosphor"":92.19,""vitamin_b1"":0.0485,""vitamin_b2"":0.1963,""vitamin_b3"":0.1275,""vitamin_b6"":0.03931,""vitamin_b7"":0.0,""vitamin_d"":0.543,""vitamin_k"":0.0,""zink"":0.4263}"
2685572;;Cabbage, bok choy, raw;;;17.003;1.024;3.515;0;0.234;0;1.259;0.036;"{""calcium"":61.93,""eisen"":0.4388,""kalium"":227.8,""kupfer"":0.02758,""magnesium"":13.64,""mangan"":0.1962,""natrium"":14.27,""phosphor"":30.51,""vitamin_b9"":68.0,""vitamin_c"":30.3,""zink"":0.2738}"
2346407;;Cabbage, green, raw;;;27.87;0.961;6.384;0;0.228;0;0;0.04;"{""calcium"":41.84,""eisen"":0.06625,""kalium"":207.1,""kupfer"":0.0,""magnesium"":13.86,""mangan"":0.2479,""natrium"":16.1,""phosphor"":26.93,""vitamin_b6"":0.1384,""vitamin_c"":40.34,""vitamin_k"":59.4,""zink"":0.2112}"
2346408;;Cabbage, red, raw;;;29.944;1.243;6.79;0;0.214;0;0;0.029;"{""calcium"":30.99,""eisen"":0.0,""kalium"":269.1,""kupfer"":0.0035,""magnesium"":13.3,""mangan"":0.3094,""natrium"":11.72,""phosphor"":35.84,""vitamin_b6"":0.1789,""vitamin_c"":53.88,""vitamin_k"":32.3,""zink"":0.245}"
2258587;;Carrots, baby, raw;;;38.251;0.805;9.079;0;0.138;0;2.694;0.157;"{""calcium"":42.23,""eisen"":0.088,""kalium"":237.3,""kupfer"":0.04062,""magnesium"":11.06,""mangan"":0.09288,""natrium"":62.66,""phosphor"":29.58,""selen"":0.0,""vitamin_b1"":0.04381,""vitamin_b2"":0.1156,""vitamin_b3"":0.7413,""vitamin_b6"":0.1146,""vitamin_b7"":2.396,""vitamin_b9"":43.65,""zink"":0.1597}"
2258586;;Carrots, mature, raw;;;44.979;0.941;10.268;0;0.351;0;3.095;0.217;"{""calcium"":30.48,""eisen"":0.1504,""kalium"":279.6,""kupfer"":0.06148,""magnesium"":12.45,""mangan"":0.1301,""natrium"":86.65,""phosphor"":39.81,""selen"":0.0,""vitamin_b1"":0.065,""vitamin_b2"":0.095,""vitamin_b3"":1.406,""vitamin_b6"":0.1456,""vitamin_b7"":2.22,""vitamin_b9"":37.06,""zink"":0.2364}"
2685573;;Cauliflower, raw;;;22.852;1.641;4.723;0;0.238;0;1.948;0.05;"{""calcium"":20.35,""eisen"":0.3338,""kalium"":274.4,""kupfer"":0.02423,""magnesium"":14.2,""mangan"":0.141,""natrium"":20.0,""phosphor"":39.69,""vitamin_b9"":97.0,""vitamin_c"":67.1,""zink"":0.2344}"
2346405;;Celery, raw;;;14.832;0.492;3.317;0;0.163;0;0;0.243;"{""calcium"":46.28,""eisen"":0.0,""kalium"":265.2,""kupfer"":0.0,""magnesium"":10.93,""mangan"":0.076,""natrium"":97.21,""phosphor"":21.6,""selen"":0.0,""vitamin_b6"":0.05175,""zink"":0.0929}"
2647443;;Cheese, cotija, solid;;;351.761;23.836;2.724;0;27.24;15.89;0;4.063;"{""calcium"":699.6,""eisen"":0.0,""jod"":64.75,""kalium"":116.7,""kupfer"":0.0,""magnesium"":29.9,""mangan"":0.01704,""natrium"":1625.0,""phosphor"":485.5,""vitamin_d"":0.0,""zink"":3.597}"
2259796;;Cheese, feta, whole milk, crumbled;;;273.472;19.708;5.583;0;19.08;11.17;0;2.585;"{""calcium"":371.1,""eisen"":0.0675,""jod"":48.44,""kalium"":105.3,""kupfer"":0.03155,""magnesium"":17.69,""mangan"":0.02003,""natrium"":1034.0,""phosphor"":327.6,""vitamin_b1"":0.05638,""vitamin_b2"":0.4444,""vitamin_b3"":0.2644,""vitamin_b6"":0.03831,""vitamin_b7"":0.4638,""vitamin_d"":0.0,""vitamin_k"":1.2,""zink"":2.353}"
2647438;;Cheese, monterey jack, solid;;;390.738;22.617;1.898;0;32.63;19.16;0;1.656;"{""calcium"":714.6,""eisen"":0.0,""jod"":35.9,""kalium"":82.94,""kupfer"":0.0,""magnesium"":29.6,""mangan"":0.01113,""natrium"":662.2,""phosphor"":470.9,""vitamin_d"":0.0,""zink"":3.785}"
2647441;;Cheese, oaxaca, solid;;;298.114;22.145;2.402;0;22.1;12.71;0;1.836;"{""calcium"":532.3,""eisen"":0.0,""jod"":45.72,""kalium"":80.73,""kupfer"":0.0,""magnesium"":21.58,""mangan"":0.02061,""natrium"":734.2,""phosphor"":380.4,""vitamin_d"":0.0,""zink"":3.506}"
2259795;;Cheese, parmesan, grated, refrigerated;;;404.763;30.139;4.332;0;29.5;17.17;0;2.615;"{""calcium"":950.4,""eisen"":0.1405,""jod"":82.9,""kalium"":73.95,""kupfer"":0.04233,""magnesium"":35.37,""mangan"":0.03713,""natrium"":1046.0,""phosphor"":625.3,""vitamin_b1"":0.03486,""vitamin_b2"":0.4094,""vitamin_b3"":0.1406,""vitamin_b6"":0.02294,""vitamin_b7"":0.0,""vitamin_d"":0.0,""vitamin_k"":1.7,""zink"":4.623}"
2647439;;Cheese, pasteurized process cheese food or product, American, singles;;;307.896;15.567;8.19;0;23.86;13.7;0;3.55;"{""calcium"":1498.0,""eisen"":1.303,""jod"":52.53,""kalium"":211.8,""kupfer"":0.0,""magnesium"":34.6,""mangan"":0.06518,""natrium"":1420.0,""phosphor"":880.0,""vitamin_d"":4.42,""zink"":2.379}"
2647440;;Cheese, provolone, sliced;;;356.9;23.453;2.453;0;28.13;16.24;0;1.502;"{""calcium"":748.8,""eisen"":0.0,""jod"":64.27,""kalium"":94.84,""kupfer"":0.0,""magnesium"":29.5,""mangan"":0.02996,""natrium"":600.9,""phosphor"":494.1,""vitamin_d"":0.0,""zink"":3.89}"
2647442;;Cheese, queso fresco, solid;;;297.417;18.885;2.957;0;23.36;13.95;0;1.566;"{""calcium"":601.8,""eisen"":0.0,""jod"":79.89,""kalium"":126.4,""kupfer"":0.0,""magnesium"":27.64,""mangan"":0.0,""natrium"":626.5,""phosphor"":389.8,""vitamin_d"":0.0,""zink"":2.908}"
2346399;;Cherries, sweet, dark red, raw;;;63.291;1.039;16.163;0;0.193;0;0;0;"{""calcium"":12.26,""eisen"":0.1054,""kalium"":229.6,""kupfer"":0.06925,""magnesium"":12.11,""mangan"":0.07336,""natrium"":0.0,""phosphor"":23.25,""vitamin_b6"":0.04888,""vitamin_c"":10.39,""zink"":0.06446}"
2710819;;Chia seeds, dry, raw;;;490.096;17.013;38.273;0;32.89;0;0;0;"{""calcium"":595.4,""eisen"":6.043,""kalium"":642.1,""kupfer"":1.566,""magnesium"":326.3,""mangan"":7.558,""natrium"":0.0,""phosphor"":691.3,""vitamin_b1"":0.5,""vitamin_b3"":8.678,""vitamin_b6"":0.2024,""vitamin_b7"":14.51,""zink"":5.556}"
2646170;;Chicken, breast, boneless, skinless, raw;;;112.202;22.525;0;0;1.934;0.349;0;0.164;"{""calcium"":3.939,""eisen"":0.3543,""kalium"":330.1,""kupfer"":0.003638,""magnesium"":26.2,""mangan"":0.0,""natrium"":65.75,""phosphor"":214.9,""zink"":0.6545}"
2727569;;Chicken, breast, meat and skin, raw;;;132.836;21.406;-0.428;0;4.777;0;0;0.12;"{""calcium"":6.898,""eisen"":0.3535,""kalium"":332.5,""kupfer"":0.00415,""magnesium"":25.4,""mangan"":0.002067,""natrium"":48.07,""phosphor"":203.6,""zink"":0.6245}"
331960;;Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised;;;166;32.1;0;0;3.24;1.01;0;0.118;"{""calcium"":6.0,""eisen"":0.49,""kalium"":343.0,""kupfer"":0.044,""magnesium"":32.0,""mangan"":0.012,""natrium"":47.0,""phosphor"":241.0,""selen"":31.9,""vitamin_b1"":0.098,""vitamin_b12"":0.2,""vitamin_b2"":0.187,""vitamin_b3"":9.45,""vitamin_b5"":1.58,""vitamin_b6"":0.921,""vitamin_e"":0.33,""zink"":0.96}"
2727566;;Chicken, drumstick, meat and skin, raw;;;130.122;18.356;-0.475;0;5.94;0;0;0.227;"{""calcium"":8.285,""eisen"":0.6658,""kalium"":244.1,""kupfer"":0.04426,""magnesium"":18.55,""mangan"":0.00655,""natrium"":90.98,""phosphor"":152.5,""zink"":1.7}"
2514746;;Chicken, ground, with additives, raw;;;138.128;17.913;0;0;7.161;1.559;0;0.157;"{""calcium"":5.819,""eisen"":0.5926,""kalium"":301.7,""kupfer"":0.03619,""magnesium"":20.51,""mangan"":0.005025,""natrium"":62.95,""phosphor"":165.5,""zink"":1.177}"
2646171;;Chicken, thigh, boneless, skinless, raw;;;149.306;18.613;0;0;7.916;1.658;0;0.156;"{""calcium"":5.65,""eisen"":0.6018,""kalium"":271.8,""kupfer"":0.04235,""magnesium"":21.8,""mangan"":0.0,""natrium"":62.33,""phosphor"":178.3,""zink"":1.348}"
2727567;;Chicken, thigh, meat and skin, raw;;;192.793;17.106;-0.173;0;13.35;0;0;0.159;"{""calcium"":5.726,""eisen"":0.5861,""kalium"":246.0,""kupfer"":0.03935,""magnesium"":18.51,""mangan"":0.0032,""natrium"":63.55,""phosphor"":153.6,""zink"":1.2}"
2727568;;Chicken, wing, meat and skin, raw;;;172.792;18.406;-0.459;0;10.64;0;0;0.21;"{""calcium"":13.55,""eisen"":0.5111,""kalium"":194.0,""kupfer"":0.01053,""magnesium"":16.53,""mangan"":0.003188,""natrium"":84.14,""phosphor"":132.8,""zink"":1.179}"
2644288;;Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed;;;132.972;7.019;20.32;0;3.096;0;0;0.504;"{""calcium"":40.48,""eisen"":1.042,""kalium"":136.8,""kupfer"":0.2674,""magnesium"":28.41,""mangan"":0.7448,""natrium"":201.7,""phosphor"":86.48,""zink"":0.7243}"
